subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1032536,21-35,female,strawberry,5,75-100%,54,14,11,37,12,0,1,1,0,0,0,1,0,0,0,0,0,0
1033706,51-65,female,strawberry,4,75-100%,54,90,90,91,54,1,1,0,0,1,1,0,0,0,0,0,0,1
1033706,51-65,female,strawberry,1,75-100%,56,35,-33,-57,55,0,0,0,1,0,0,0,0,0,0,0,0,0
1033706,51-65,female,strawberry,2,75-100%,56,-11,-11,-10,35,0,0,0,0,0,0,0,1,0,0,0,0,0
1033706,51-65,female,strawberry,6,75-100%,35,-57,-56,-56,55,0,0,0,1,0,0,0,0,0,0,0,0,0
1033706,51-65,female,strawberry,3,75-100%,56,35,11,36,75,0,0,0,0,0,0,0,1,0,0,0,0,0
1033706,51-65,female,strawberry,5,75-100%,65,57,35,55,56,0,1,0,0,1,1,0,0,0,0,0,0,0
1032395,36-50,male,strawberry,4,50-74%,37,-31,-32,35,37,0,0,0,0,1,0,0,0,0,0,1,0,0
1032395,36-50,male,strawberry,1,50-74%,14,-11,-10,-29,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1032395,36-50,male,strawberry,2,50-74%,0,-11,-31,-32,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1032395,36-50,male,strawberry,6,50-74%,15,-11,-32,11,-1,1,0,1,0,0,0,0,0,0,0,0,0,0
1032395,36-50,male,strawberry,3,50-74%,57,42,35,34,35,0,0,0,0,0,0,0,0,0,1,0,0,0
1032395,36-50,male,strawberry,5,50-74%,54,54,39,54,74,0,1,0,0,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,4,75-100%,73,75,57,58,59,1,0,1,0,0,0,1,0,0,0,1,0,0
1033655,51-65,female,strawberry,1,75-100%,77,100,76,76,74,0,1,0,1,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,2,75-100%,37,36,12,56,38,1,0,1,1,0,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,6,75-100%,36,75,74,56,74,0,1,0,0,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,3,75-100%,73,72,74,73,76,0,1,0,0,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,5,75-100%,73,76,74,99,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,4,50-74%,-8,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1501834,36-50,female,strawberry,1,50-74%,-1,-25,-39,-10,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,2,50-74%,-30,1,-31,0,-10,0,0,0,0,0,0,0,1,0,0,0,0,0
1501834,36-50,female,strawberry,6,50-74%,-53,-76,-54,-10,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,3,50-74%,-32,0,5,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,5,50-74%,0,25,13,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1034545,21-35,male,strawberry,4,50-74%,-32,-12,-32,-10,53,1,0,1,1,0,0,0,0,0,0,1,0,0
1034545,21-35,male,strawberry,1,50-74%,7,31,10,47,11,0,1,0,0,1,1,0,0,1,0,0,0,0
1034545,21-35,male,strawberry,2,50-74%,10,46,34,35,45,0,1,1,0,1,0,0,0,0,0,1,0,0
1034545,21-35,male,strawberry,6,50-74%,60,-13,-76,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1034545,21-35,male,strawberry,3,50-74%,-1,12,9,39,22,1,0,1,0,1,0,1,0,0,0,0,0,0
1034545,21-35,male,strawberry,5,50-74%,46,23,34,30,53,0,1,0,0,1,1,0,0,1,0,0,0,0
1034428,21-35,female,strawberry,4,50-74%,-37,-68,-90,17,27,1,0,1,0,0,0,0,0,1,0,0,0,0
1034428,21-35,female,strawberry,1,50-74%,-47,-26,-73,-81,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1034428,21-35,female,strawberry,2,50-74%,-83,-32,-44,-5,70,1,1,0,0,0,0,1,0,0,0,0,1,0
1034428,21-35,female,strawberry,6,50-74%,56,-29,-48,-9,1,1,0,1,0,1,0,1,0,1,0,1,1,1
1034428,21-35,female,strawberry,3,50-74%,18,61,55,28,69,0,1,0,0,1,0,0,0,0,0,1,0,0
1034428,21-35,female,strawberry,5,50-74%,43,-32,-26,-27,-6,0,1,1,0,0,1,0,0,0,0,0,1,0
1507318,21-35,female,strawberry,4,50-74%,35,-31,-9,4,-1,0,0,1,0,0,0,1,0,0,0,0,0,0
1507318,21-35,female,strawberry,1,50-74%,-8,13,0,-9,2,1,1,0,0,1,0,0,0,0,0,0,1,0
1507318,21-35,female,strawberry,2,50-74%,-77,14,12,-31,12,1,1,0,0,1,0,0,0,1,0,0,0,1
1507318,21-35,female,strawberry,6,50-74%,1,15,25,21,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1507318,21-35,female,strawberry,3,50-74%,57,54,36,37,12,1,1,1,0,1,0,0,0,0,0,0,0,0
1507318,21-35,female,strawberry,5,50-74%,1,12,15,13,-1,0,1,1,0,1,0,1,0,0,0,0,0,0
